時間,airline_code,destination,price
2026-06-10 15:54,AK,MNL,1099
2026-06-10 15:54,AK,KUL,1199
2026-06-10 15:54,IT,OKA,1299
2026-06-10 15:54,AK,BKK,1299
2026-06-10 15:54,AK,SGN,1349
2026-06-10 15:54,AK,HAN,1399
2026-06-10 15:54,IT,KIX,1499
2026-06-10 15:54,IT,PUS,1499
2026-06-10 15:54,TR,KUL,1499
2026-06-10 15:54,AK,SIN,1499
2026-06-10 15:54,AK,DAD,1499
2026-06-10 15:54,IT,FUK,1599
2026-06-10 15:54,TR,BKK,1599
2026-06-10 15:54,3K,BKK,1599
2026-06-10 15:54,IT,ICN,1699
2026-06-10 15:54,IT,DMK,1699
2026-06-10 15:54,MM,OKA,1699
2026-06-10 15:54,TR,ICN,1699
2026-06-10 15:54,AK,HKT,1699
2026-06-10 15:54,3K,KUL,1699
2026-06-10 15:54,IT,NRT,1799
2026-06-10 15:54,TR,SGN,1799
2026-06-10 15:54,AK,CGK,1799
2026-06-10 15:54,3K,HAN,1799
2026-06-10 15:54,MM,FUK,1899
2026-06-10 15:54,MM,ICN,1899
2026-06-10 15:54,TR,SIN,1899
2026-06-10 15:54,3K,SIN,1899
2026-06-10 15:54,IT,BKK,1999
2026-06-10 15:54,MM,KIX,1999
2026-06-10 15:54,MM,NGO,1999
2026-06-10 15:54,AK,DPS,1999
2026-06-10 15:54,TRIP.COM,TTT,2051
2026-06-10 15:54,KUPI.COM,HKG,2126
2026-06-10 15:54,TRIP.COM,KNH,2146
2026-06-10 15:54,MM,NRT,2199
2026-06-10 15:54,TR,DPS,2199
2026-06-10 15:54,IT,CTS,2299
2026-06-10 15:54,IT,SIN,2299
2026-06-10 15:54,MM,CTS,2499
2026-06-10 15:54,MEGO.TRAVEL,SGN,2605
2026-06-10 15:54,KIWI.COM,BKK,2650
2026-06-10 15:54,KIWI.COM,OKA,2775
2026-06-10 15:54,АВИАСЕЙЛС,SEL,2785
2026-06-10 15:54,IT,XMN,2799
2026-06-10 15:54,BILETIX,MNL,2801
2026-06-10 15:54,IT,PVG,2999
2026-06-10 15:54,CITY.TRAVEL,PQC,3149
2026-06-10 15:54,MYTRIP.COM,PUS,3227
2026-06-10 15:54,KIWI.COM,HAN,3432
2026-06-10 15:54,CITY.TRAVEL,DPS,3518
2026-06-10 15:54,FARERA,MFM,3585
2026-06-10 15:54,CITY.TRAVEL,KUL,3727
2026-06-10 15:54,TRIP.COM,OSA,3866
2026-06-10 15:54,АВИАСЕЙЛС,SIN,3948
2026-06-10 15:54,KIWI.COM,SHA,3959
2026-06-10 15:54,TRIP.COM,HKT,4008
2026-06-10 15:54,KUPI.COM,SHA,4106
2026-06-10 15:54,FARERA,BJS,4271
2026-06-10 15:54,FARERA,DAD,4296
2026-06-10 15:54,MYTRIP.COM,OKJ,4303
2026-06-10 15:54,GOTOGATE,CJU,4332
2026-06-10 15:54,KUPI.COM,TYO,4336
2026-06-10 15:54,CITY.TRAVEL,SAI,4385
2026-06-10 15:54,CI,XMN,4500
2026-06-10 15:54,TRIP.COM,SYX,4532
2026-06-10 15:54,XX,SHA,4570
2026-06-10 15:54,CITY.TRAVEL,FUK,4645
2026-06-10 15:54,VAYAMA,VII,4685
2026-06-10 15:54,TRIP.COM,HGH,4691
2026-06-10 15:54,TRIP.COM,NGO,4799
2026-06-10 15:54,CI,PVG,4800
2026-06-10 15:54,CITY.TRAVEL,NGB,4907
2026-06-10 15:54,CITY.TRAVEL,SYX,4922
2026-06-10 15:54,TRIP.COM,CNX,4928
2026-06-10 15:54,TRIP.COM,BJS,5030
2026-06-10 15:54,XX,BJS,5034
2026-06-10 15:54,VAYAMA,ISG,5084
2026-06-10 15:54,CI,CAN,5200
2026-06-10 15:54,BR,PVG,5200
2026-06-10 15:54,KUPI.COM,CEB,5243
2026-06-10 15:54,MEGO.TRAVEL,NHA,5321
2026-06-10 15:54,KIWI.COM,SPK,5344
2026-06-10 15:54,BR,HGH,5400
2026-06-10 15:54,FARERA,SUB,5455
2026-06-10 15:54,BR,PEK,5500
